item_id,category,price
97,E,71.26409085520423
98,D,92.10714900089353
99,E,22.529691416563917
100,D,25.86832967682238
101,B,32.69373328529342
102,D,32.033037408930184
103,D,37.97634438344441
104,B,61.8067808445784
105,C,12.535535017459416
106,D,44.40453355359782
107,A,32.174661510333685
108,E,64.59668632474498
109,B,98.6652397946382
110,B,56.588915096503534
111,D,48.31167152065904
112,C,43.141919063060456
113,C,80.64542969918719
114,E,16.478283848565425
115,E,96.37934630141093
116,C,47.6126097389241
117,C,38.23306532426017
118,C,97.66613047597312
119,D,94.22909769188799
120,A,67.7740725789149
121,E,11.66566373653612
122,B,77.36814785859147
123,C,40.20016600378012
124,C,44.9452207768835
125,A,24.286791607964975
126,C,57.11122754784094
127,E,77.00973365833896
128,C,34.57100062837616
129,A,94.48596172390377
130,D,27.526317040265887
131,E,15.963610653499003
132,D,67.99274860149109
133,B,86.4386858692042
134,A,95.7819573376761
135,B,79.04539094648669
136,B,27.96850103554651
137,B,97.98950663233573
138,B,92.74922884259584
139,A,24.68506804862027
140,D,60.2907244223792
141,C,59.9965683337881
142,B,49.82813003165238
143,C,98.585319723372
144,C,15.366001346219907
145,B,66.44880175992262
146,E,28.47732604109291
147,C,57.45980842578636
148,E,80.1766694608767
149,D,32.20541228516917
150,C,45.40235918348337
151,A,95.56912668523591
152,D,78.53326639482786
153,D,61.545086606065205
154,E,29.979764902604508
155,B,48.27748937298248
156,A,79.66551871449305
157,A,83.84887702989785
158,E,32.0145578328159
159,E,69.58541893753173
160,D,18.55026929110599
161,E,12.089107670541798
162,B,59.38065310897191
163,D,30.194186885238587
164,D,17.10208281179196
165,D,75.6845481605707
166,A,54.817712952818056
167,A,81.66493098626054
168,D,69.75498157125013
169,B,75.6824445923941
170,C,37.66245231663098
171,D,33.694824311491274
172,E,64.07874028857351
173,C,28.007392635827593
174,A,83.3870904068819
175,A,57.06281520768147
176,C,30.42909391129849
177,E,66.26514090969177
178,A,95.0532161575256
179,A,17.38852539316967
180,D,19.841068658215264
181,B,85.9455232177006
182,E,19.86343971101862
183,D,13.543783241768901
184,B,41.313752294182564
185,A,52.00352964294378
186,B,61.24999930216208
187,A,55.65702093078249
188,D,92.18661063923021
189,A,79.18012903524736
190,B,98.54292302755397
191,D,52.880988090279004
192,B,17.5896648855261
193,B,95.99775786485871
194,C,10.370184543018762
195,A,79.84864124551436
196,A,12.815382769451151
197,B,78.50927715864746
198,A,94.41450458632488
199,E,45.03342675979422
200,A,31.68683660977459
201,D,30.365123726064777
202,A,54.254587973518305
203,E,25.379833218111237
204,B,70.56312675937409
205,A,43.15171217395374
206,D,39.079854316293314
207,E,51.515701863081134
208,C,58.832875219577666
209,B,22.77372360329162
210,B,73.6987027417159
211,B,89.46523899147935
212,E,35.01882245810636
213,A,26.235181164653632
214,A,78.44548813471573
215,A,26.518755138908453
216,A,13.712964432666096
217,B,65.7318898344501
218,C,31.57762746748152
219,B,25.462936803570372
220,C,98.34424675430556
221,C,36.267848505975486
222,A,91.30989611939822
223,D,26.03968892997439
224,E,83.70794188561916
225,D,55.18169857436338
226,C,17.073529220439575
227,D,76.02447642792151
228,C,90.2866034561302
229,B,24.671529130196937
230,B,75.30312181025577
231,A,50.05472671658114
232,E,77.84834079310465
233,B,74.25351533667751
234,E,12.394020741670488
235,A,26.084893237043964
236,E,52.3924518639047
237,B,94.02347547208723
238,B,40.78661110793213
239,D,66.59861232521638
240,D,11.087537096298593
241,D,74.00142293922497
242,E,64.2761436477524
243,B,74.38552719541893
244,A,91.41945517224505
245,C,23.184903980602904
246,B,33.54306364072604
247,D,99.62028029513279
248,D,24.065556265866427
249,E,74.85643058734237
250,D,75.25683194598116
251,E,71.46943716120124
252,A,30.46965303831199
253,D,29.362065689248368
254,E,69.97069612313092
255,D,26.762516601329445
256,E,69.54069985664836
257,B,54.32754538227863
258,E,44.79659808844457
259,C,37.02091144401512
260,A,95.2819239990805
261,B,55.72842919685088
262,A,60.51267662598658
263,B,95.43304762181069
264,D,68.84895862874203
265,E,96.20676349811447
266,D,19.57300664704286
267,A,86.19756685951634
268,A,40.18731652207818
269,B,82.94387725633071
270,A,87.00729617754807
271,E,34.433909752830026
272,A,46.7947554863931
273,D,75.34129188834136
274,E,18.91500678072736
275,A,77.9980180905406
276,C,19.94256334492696
277,C,92.30101590412522
278,D,34.87053639667181
279,B,61.80394121806202
280,B,20.543815006864552
281,A,34.25438391962308
282,E,46.355953913839485
283,B,53.83439890147129
284,C,10.006074788191698
285,B,89.97901861424215
286,C,10.69073286029894
287,B,79.63161066949824
288,D,52.35210211207338
289,E,57.14920224112388
290,A,28.74389314010868
291,C,64.66315153111337
292,B,58.3508718252507
293,A,24.781276595826583
294,C,31.430710121429723
295,C,16.021326611121147
296,D,15.965521488050742
297,B,11.239820735718391
298,A,29.842689293477537
299,B,71.16951046573502
300,B,38.459384932812064
301,E,40.8460842880639
302,C,21.871485392990024
303,C,61.792360089077796
304,E,40.792927739206355
305,E,70.86851230871932
306,B,76.73135219582981
307,C,62.62235877235439
308,A,34.84625831308327
309,D,55.77470194035289
310,E,32.6737724214073
311,A,91.26215518185263
312,A,78.97471750743016
313,B,54.37053154050096
314,E,96.8911428860332
315,A,59.20799020571692
316,D,39.568192926125334
317,A,18.592057071464236
318,D,58.937108033207224
319,D,87.4374950423211
320,D,88.00468553408038
321,E,64.41103600144736
322,D,45.40945269107915
323,E,68.52666772816119
324,A,78.59263191031356
325,D,47.04623059547136
326,C,52.86287522934328
327,A,71.25546766401487
328,C,88.89873454924718
329,C,81.19093403280475
330,B,12.015223238831382
331,E,21.193510940612907
332,B,86.75003622569696
333,E,85.04405452405302
334,B,44.99261048338383
335,A,62.585013012189904
336,C,91.52604841857817
337,A,92.04028129063867
338,E,80.47835611848016
339,C,28.863004452371108
340,C,75.72545266185504
341,E,19.098858911235094
342,A,90.45446135091122
343,C,23.423392322084307
344,A,69.61137761003059
345,A,64.92189468271138
346,A,79.92096902916248
347,C,59.641975212260995
348,D,15.360991783815896
349,B,73.52616286397343
350,E,44.48391029517411
351,A,38.82565010971989
352,C,99.25061945803613
353,E,63.1359789363755
354,D,73.96471659424702
355,D,57.36935232420835
356,C,79.29753813564875
357,A,77.68654619499777
358,D,69.14315041121444
359,D,99.79687552993991
360,D,51.38141806748239
361,C,73.55731134683396
362,E,81.80001665244264
363,B,43.84312386350899
364,C,51.145752479825674
365,A,97.22505397515269
366,C,12.906191541394728
367,C,40.17660885648229
368,B,53.75916661048029
369,B,10.131849376227121
370,B,90.92143909059506
371,E,35.76199601909428
372,C,33.19343488984998
373,A,83.82935758183676
374,B,35.018490565222784
375,B,69.18603345118201
376,C,83.93528295117633
377,A,81.32291629393352
378,B,80.37556636833361
379,C,17.977381287871136
380,D,17.18622708151278
381,E,37.60930321636487
382,C,13.2353093076416
383,B,55.038676286733796
384,A,45.53038596431964
385,D,60.13233212888343
386,A,36.89096848027214
387,A,53.717860269138434
388,A,40.12702892731484
389,C,27.568728300097774
390,C,68.44300130240335
391,E,70.60923113492667
392,D,84.6308523474775
393,A,88.72766048383524
394,B,73.40157139311239
395,A,71.87482780277608
396,D,15.100809880282526
397,A,19.880131731235437
398,C,83.1306439351786
399,C,30.96561354612684
400,D,42.00085541953747
401,E,23.076761830828914
402,A,27.56367717174271
403,D,79.78755118331856
404,B,33.567365756398445
405,B,50.413146963777116
406,E,23.650423575331533
407,C,71.01369156844888
408,D,75.54427607201285
409,A,42.552308610884246
410,D,80.62719815104755
411,E,31.59159867299138
412,D,72.27134758901404
413,E,75.69681232784086
414,E,97.17916400098986
415,E,30.908949866804463
416,D,18.433943203847747
417,B,33.67318800608079
418,A,21.057597692390715
419,E,25.27248776448787
420,C,40.0703060670377
421,E,47.25916720498008
422,D,91.33518031762416
423,E,27.605419435001895
424,C,97.45830783290945
425,B,82.91378889065545
426,D,89.33242509040969
427,D,93.64995907662191
428,D,77.79170774270086
429,C,80.9901848455355
430,D,49.40364669450576
431,B,55.94052112086196
432,A,93.92368840899708
433,A,44.043032039738456
434,E,13.775236575778647
435,A,78.64789469272957
436,C,61.58417605457665
437,A,83.33883661089804
438,C,16.79961399498659
439,C,65.91087914282109
440,E,32.29352991916822
441,A,91.29417350450356
442,E,19.89189457675711
443,D,85.87623454525567
444,B,17.969882677471933
445,A,12.258761994729829
446,D,31.155348703773008
447,D,39.97400868340154
448,E,66.38758946306841
449,E,21.85521376249484
450,B,49.359694023196745
451,B,28.383724189258636
452,B,86.9772989392357
453,B,14.046985715617447
454,E,42.0343954019669
455,C,66.8236671972198
456,E,92.17793602467451
457,C,88.11940804245057
458,E,90.56727995654472
459,E,15.656796431468388
460,B,85.68309353171136
461,C,80.19213206897072
462,D,91.21884843480571
463,D,38.041864053220124
464,D,92.058859564603
465,B,46.2376976577803
466,D,67.068971697322
467,E,48.176109208629846
468,B,48.48835874640861
469,D,59.19733169154114
470,B,42.03340386587403
471,E,81.34632948423122
472,B,67.0274861873715
473,D,72.0780185385051
474,B,30.793132019958723
475,A,97.26177596332532
476,D,69.41584879956689
477,E,27.747627807735245
478,C,77.54412191239304
479,B,25.634269288686042
480,B,15.704640666955754
481,D,57.479805653125084
482,D,59.81715587461125
483,A,27.00690172584387
484,E,41.35410498629431
485,B,95.11923661108273
486,B,35.65029088787409
487,C,24.00112546888318
488,B,99.33057627989086
489,B,37.207498274242006
490,A,71.22283058314707
491,C,30.840416329533973
492,B,59.510907728775045
493,B,44.7653787948654
494,E,96.54213350432697
495,B,48.95252870954389
496,A,62.57567657635518
497,B,95.02896393101324
498,B,99.03108699441596
499,D,19.149252760449684
